Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s],SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
274, ,0.010353218432956621,1.702769172225898e-09,None,None,None,None, , , , , 
275, ,0.010353218432956621,1.825183494319039e-09,None,None,None,None, , , , , 
276, ,0.010353218432956621,1.956398343517065e-09,None,None,None,None, , , , , 
277, ,0.010353218432956621,2.0970464013232305e-09,None,None,None,None, , , , , 
278, ,0.010353218432956621,2.2478058335487303e-09,None,None,None,None, , , , , 
279, ,0.010353218432956621,2.409403560239527e-09,None,None,None,None, , , , , 
280, ,0.010353218432956621,2.582618760682675e-09,None,None,None,None, , , , , 
281, ,0.010353218432956621,2.768286630392061e-09,None,None,None,None, , , , , 
282, ,0.010353218432956621,2.9673024081888724e-09,None,None,None,None, , , , , 
283, ,0.010353218432956621,3.180625692794119e-09,None,None,None,None, , , , , 
284, ,0.010353218432956621,3.409285069746807e-09,None,None,None,None, , , , , 
285, ,0.010353218432956621,3.654383070957262e-09,None,None,None,None, , , , , 
286, ,0.010353218432956621,3.917101490809261e-09,None,None,None,None, , , , , 
287, ,0.010353218432956621,4.198707084443906e-09,None,None,None,None, , , , , 
288, ,0.010353218432956621,4.500557675700488e-09,None,None,None,None, , , , , 
289, ,0.010353218432956621,4.824108704165374e-09,None,None,None,None, , , , , 
290, ,0.010353218432956621,5.170920242896755e-09,None,None,None,None, , , , , 
291, ,0.010353218432956621,5.542664520663096e-09,None,None,None,None, , , , , 
292, ,0.010353218432956621,5.941133984965041e-09,None,None,None,None, , , , , 
293, ,0.010353218432956621,6.3682499447185856e-09,None,None,None,None, , , , , 
294, ,0.010353218432956621,6.826071834272379e-09,None,None,None,None, , , , , 
295, ,0.010353218432956621,7.3168071434271765e-09,None,None,None,None, , , , , 
296, ,0.010353218432956621,7.842822061337681e-09,None,None,None,None, , , , , 
297, ,0.010353218432956621,8.406652885618316e-09,None,None,None,None, , , , , 
298, ,0.010353218432956621,9.011018251665036e-09,None,None,None,None, , , , , 
299, ,0.010353218432956621,9.658832241158707e-09,None,None,None,None, , , , , 
300, ,0.010353218432956621,1.0353218432956616e-08,None,None,None,None, , , , , 
301, ,0.010353218432956621,1.1097524964120722e-08,None,None,None,None, , , , , 
302, ,0.010353218432956621,1.1895340673703208e-08,None,None,None,None, , , , , 
303, ,0.010353218432956621,1.2750512407130128e-08,None,None,None,None, , , , , 
304, ,0.010353218432956621,1.3667163564620044e-08,None,None,None,None, , , , , 
305, ,0.010353218432956621,1.4649713983072851e-08,None,None,None,None, , , , , 
306, ,0.010353218432956621,1.5702901247293774e-08,None,None,None,None, , , , , 
307, ,0.010353218432956621,1.683180353330955e-08,None,None,None,None, , , , , 
308, ,0.010353218432956621,1.804186409392072e-08,None,None,None,None, , , , , 
309, ,0.010353218432956621,1.933891750455232e-08,None,None,None,None, , , , , 
310, ,0.010353218432956621,2.0729217795953697e-08,None,None,None,None, , , , , 
311, ,0.010353218432956621,2.221946860939524e-08,None,None,None,None, , , , , 
312, ,0.010353218432956621,2.3816855519761606e-08,None,None,None,None, , , , , 
313, ,0.010353218432956621,2.5529080682395162e-08,None,None,None,None, , , , , 
314, ,0.010353218432956621,2.7364399970746666e-08,None,None,None,None, , , , , 
315, ,0.010353218432956621,2.933166278390042e-08,None,None,None,None, , , , , 
316, ,0.010353218432956621,3.1440354715915e-08,None,None,None,None, , , , , 
317, ,0.010353218432956621,3.370064329271925e-08,None,None,None,None, , , , , 
318, ,0.010353218432956621,3.612342699709431e-08,None,None,None,None, , , , , 
319, ,0.010353218432956621,3.8720387818125565e-08,None,None,None,None, , , , , 
320, ,0.010353218432956621,4.1504047578504727e-08,None,None,None,None, , , , , 
321, ,0.010353218432956621,4.448782831127585e-08,None,None,None,None, , , , , 
322, ,0.010353218432956621,4.768611697714474e-08,None,None,None,None, , , , , 
323, ,0.010353218432956621,5.111433483440165e-08,None,None,None,None, , , , , 
324, ,0.010353218432956621,5.478901179593934e-08,None,None,None,None, , , , , 
325, ,0.010353218432956621,5.872786613189478e-08,None,None,None,None, , , , , 
326, ,0.010353218432956621,6.294988990221888e-08,None,None,None,None, , , , , 
327, ,0.010353218432956621,6.747544053110687e-08,None,None,None,None, , , , , 
328, ,0.010353218432956621,7.232633896483534e-08,None,None,None,None, , , , , 
329, ,0.010353218432956621,7.752597488629465e-08,None,None,None,None, , , , , 
330, ,0.010353218432956621,8.309941949353386e-08,None,None,None,None, , , , , 
331, ,0.010353218432956621,8.907354638610439e-08,None,None,None,None, , , , , 
332, ,0.010353218432956621,9.547716114208066e-08,None,None,None,None, , , , , 
333, ,0.010353218432956621,1.0234114021054528e-07,None,None,None,None, , , , , 
334, ,0.010353218432956621,1.0969857978923841e-07,None,None,None,None, , , , , 
335, ,0.010353218432956621,1.1758495540521555e-07,None,None,None,None, , , , , 
336, ,0.010353218432956621,1.2603829296797277e-07,None,None,None,None, , , , , 
337, ,0.010353218432956621,1.350993521198025e-07,None,None,None,None, , , , , 
338, ,0.010353218432956621,1.4481182276745328e-07,None,None,None,None, , , , , 
339, ,0.010353218432956621,1.552225357427048e-07,None,None,None,None, , , , , 
340, ,0.010353218432956621,1.6638168860761273e-07,None,None,None,None, , , , , 
341, ,0.010353218432956621,1.7834308769319093e-07,None,None,None,None, , , , , 
342, ,0.010353218432956621,1.9116440753857e-07,None,None,None,None, , , , , 
343, ,0.010353218432956621,2.049074689815846e-07,None,None,None,None, , , , , 
344, ,0.010353218432956621,2.1963853724165468e-07,None,None,None,None, , , , , 
345, ,0.010353218432956621,2.3542864143224158e-07,None,None,None,None, , , , , 
346, ,0.010353218432956621,2.523539170434766e-07,None,None,None,None, , , , , 
347, ,0.010353218432956621,2.7049597304631316e-07,None,None,None,None, , , , , 
348, ,0.010353218432956621,2.899422853882875e-07,None,None,None,None, , , , , 
349, ,0.010353218432956621,3.107866187782014e-07,None,None,None,None, , , , , 
350, ,0.010353218432956621,3.33129478793467e-07,None,None,None,None, , , , , 
351, ,0.010353218432956621,3.5707859649004626e-07,None,None,None,None, , , , , 
352, ,0.010353218432956621,3.827494478516307e-07,None,None,None,None, , , , , 
353, ,0.010353218432956621,4.1026581058271904e-07,None,None,None,None, , , , , 
354, ,0.010353218432956621,4.397603609302722e-07,None,None,None,None, , , , , 
355, ,0.010353218432956621,4.7137531341167185e-07,None,None,None,None, , , , , 
356, ,0.010353218432956621,5.052631065335679e-07,None,None,None,None, , , , , 
357, ,0.010353218432956621,5.415871378079465e-07,None,None,None,None, , , , , 
358, ,0.010353218432956621,5.805225516094896e-07,None,None,None,None, , , , , 
359, ,0.010353218432956621,6.222570836730232e-07,None,None,None,None, , , , , 
360, ,0.010353218432956621,6.669919663030115e-07,None,None,None,None, , , , , 
361, ,0.010353218432956621,7.149428986597576e-07,None,None,None,None, , , , , 
362, ,0.010353218432956621,7.663410868007445e-07,None,None,None,None, , , , , 
363, ,0.010353218432956621,8.214343584919422e-07,None,None,None,None, , , , , 
364, ,0.010353218432956621,8.804883581643463e-07,None,None,None,None, , , , , 
365, ,0.010353218432956621,9.437878277775371e-07,None,None,None,None, , , , , 
366, ,0.010353218432956621,1.0116379797662072e-06,None,None,None,None, , , , , 
367, ,0.010353218432956621,1.0843659686896086e-06,None,None,None,None, , , , , 
368, ,0.010353218432956621,1.162322468679852e-06,None,None,None,None, , , , , 
369, ,0.010353218432956621,1.245883364295008e-06,None,None,None,None, , , , , 
370, ,0.010353218432956621,1.3354515629298971e-06,None,None,None,None, , , , , 
371, ,0.010353218432956621,1.4314589375234786e-06,None,None,None,None, , , , , 
